"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 24 13:48:40 GMT 2023","Fri Mar 24 13:48:40 GMT 2023","878","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase6_Contact_Us_Form[chromium]",""
"passed","Fri Mar 24 13:49:15 GMT 2023","Fri Mar 24 13:49:20 GMT 2023","5263","tests","test_Place_Order","TestContactUs","","","test_TestCase24_Download_Invoice_after_purchase_order[chromium]",""
"passed","Fri Mar 24 13:49:54 GMT 2023","Fri Mar 24 13:49:57 GMT 2023","3087","tests","test_Subscription","TestContactUs","","","test_TestCase11_Verify_Subscription_in_Cart_page[chromium]",""
"passed","Fri Mar 24 13:50:05 GMT 2023","Fri Mar 24 13:50:08 GMT 2023","2498","tests","test_Subscription","TestContactUs","","","test_TestCase25_Verify_Scroll_Up_using_Arrow_button_and_Scroll_Down_functionality[chromium]",""
"passed","Fri Mar 24 13:48:37 GMT 2023","Fri Mar 24 13:48:38 GMT 2023","1305","tests","test_Category_Products","TestContactUs","","","test_TestCase21_Add_review_on_product[chromium]",""
"passed","Fri Mar 24 13:49:35 GMT 2023","Fri Mar 24 13:49:35 GMT 2023","632","tests","test_Products","TestContactUs","","","test_TestCase17_Remove_Products_From_Cart[chromium]",""
"passed","Fri Mar 24 13:49:09 GMT 2023","Fri Mar 24 13:49:14 GMT 2023","4848","tests","test_Place_Order","TestContactUs","","","test_TestCase23_Verify_address_details_in_checkout_page[chromium]",""
"passed","Fri Mar 24 13:49:49 GMT 2023","Fri Mar 24 13:49:49 GMT 2023","605","tests","test_Signup_Login","TestSignup","","","test_Test_Case5_Register_User_with_existing_email[chromium]",""
"passed","Fri Mar 24 13:49:25 GMT 2023","Fri Mar 24 13:49:32 GMT 2023","6872","tests","test_Products","TestContactUs","","","test_TestCase12_Add_Products_in_Cart[chromium]",""
"passed","Fri Mar 24 13:48:43 GMT 2023","Fri Mar 24 13:48:51 GMT 2023","8207","tests","test_Place_Order","TestContactUs","","","test_TestCase14_Place_Order_Register_while_Checkout[chromium]",""
"passed","Fri Mar 24 13:49:23 GMT 2023","Fri Mar 24 13:49:24 GMT 2023","1253","tests","test_Products","TestContactUs","","","test_TestCase9_Search_Product[chromium]",""
"passed","Fri Mar 24 13:49:21 GMT 2023","Fri Mar 24 13:49:22 GMT 2023","889","tests","test_Products","TestContactUs","","","test_TestCase8_Verify_All_Products_and_product_detail_page[chromium]",""
"passed","Fri Mar 24 13:49:47 GMT 2023","Fri Mar 24 13:49:48 GMT 2023","1008","tests","test_Signup_Login","TestSignup","","","test_TestCase4_Logout_User[chromium]",""
"passed","Fri Mar 24 13:49:01 GMT 2023","Fri Mar 24 13:49:08 GMT 2023","6541","tests","test_Place_Order","TestContactUs","","","test_TestCase16_Login_before_Checkout[chromium]",""
"passed","Fri Mar 24 13:48:53 GMT 2023","Fri Mar 24 13:49:00 GMT 2023","7534","tests","test_Place_Order","TestContactUs","","","test_TestCase15_Place_Order_Register_before_Checkout[chromium]",""
"passed","Fri Mar 24 13:49:36 GMT 2023","Fri Mar 24 13:49:41 GMT 2023","4479","tests","test_Signup_Login","TestSignup","","","test_TestCase1_Register_User[chromium]",""
"passed","Fri Mar 24 13:48:22 GMT 2023","Fri Mar 24 13:48:28 GMT 2023","5972","tests","test_Category_Products","TestContactUs","","","test_TestCase18_View_Category_Products[chromium]",""
"passed","Fri Mar 24 13:49:45 GMT 2023","Fri Mar 24 13:49:46 GMT 2023","604","tests","test_Signup_Login","TestSignup","","","test_TestCase3_Login_User_with_incorrect_email_and_password[chromium]",""
"passed","Fri Mar 24 13:49:42 GMT 2023","Fri Mar 24 13:49:44 GMT 2023","2255","tests","test_Signup_Login","TestSignup","","","test_TestCase2_Login_User_with_correct_email_and_password[chromium]",""
"passed","Fri Mar 24 13:48:31 GMT 2023","Fri Mar 24 13:48:36 GMT 2023","4917","tests","test_Category_Products","TestContactUs","","","test_TestCase20_Search_Products_and_Verify_Cart_After_Login[chromium]",""
"passed","Fri Mar 24 13:49:33 GMT 2023","Fri Mar 24 13:49:34 GMT 2023","756","tests","test_Products","TestContactUs","","","test_TestCase13_Verify_Product_quantity_in_Cart[chromium]",""
"passed","Fri Mar 24 13:49:58 GMT 2023","Fri Mar 24 13:50:04 GMT 2023","6079","tests","test_Subscription","TestContactUs","","","test_TestCase22_Add_to_cart_from_Recommended_items[chromium]",""
"passed","Fri Mar 24 13:48:41 GMT 2023","Fri Mar 24 13:48:42 GMT 2023","648","tests","test_Contact_Us_Form","TestContactUs","","","test_TestCase7_Verify_Test_Cases_Page[chromium]",""
"passed","Fri Mar 24 13:50:09 GMT 2023","Fri Mar 24 13:50:11 GMT 2023","2613","tests","test_Subscription","TestContactUs","","","test_TestCase26_Verify_Scroll_Up_without_Arrow_button_and_Scroll_Down_functionality[chromium]",""
"passed","Fri Mar 24 13:48:29 GMT 2023","Fri Mar 24 13:48:30 GMT 2023","1317","tests","test_Category_Products","TestContactUs","","","test_TestCase19_View_and_Cart_Brand_Products[chromium]",""
"passed","Fri Mar 24 13:49:50 GMT 2023","Fri Mar 24 13:49:53 GMT 2023","2673","tests","test_Subscription","TestContactUs","","","test_TestCase10_Verify_Subscription_in_home_page[chromium]",""
